service_id,date,exception_type
ADF,20261005,1
AS,20261005,2
AU,20261005,2
BDF,20261005,1
BexDF,20261005,1
BS,20261005,2
BU,20261005,2
CDF,20261005,1
CS,20261005,2
CU,20261005,2
DDF,20261005,1
DS,20261005,2
DU,20261005,2
EDF,20261005,1
ES,20261005,2
EU,20261005,2
FDF,20261005,1
FS,20261005,2
FU,20261005,2
ADF,20261101,1
AS,20261101,2
AU,20261101,2
BDF,20261101,1
BexDF,20261101,1
BS,20261101,2
BU,20261101,2
CDF,20261101,1
CS,20261101,2
CU,20261101,2
DDF,20261101,1
DS,20261101,2
DU,20261101,2
EDF,20261101,1
ES,20261101,2
EU,20261101,2
FDF,20261101,1
FS,20261101,2
FU,20261101,2
ADF,20261201,1
AS,20261201,2
AU,20261201,2
BDF,20261201,1
BexDF,20261201,1
BS,20261201,2
BU,20261201,2
CDF,20261201,1
CS,20261201,2
CU,20261201,2
DDF,20261201,1
DS,20261201,2
DU,20261201,2
EDF,20261201,1
ES,20261201,2
EU,20261201,2
FDF,20261201,1
FS,20261201,2
FU,20261201,2
ADF,20261208,1
AS,20261208,2
AU,20261208,2
BDF,20261208,1
BexDF,20261208,1
BS,20261208,2
BU,20261208,2
CDF,20261208,1
CS,20261208,2
CU,20261208,2
DDF,20261208,1
DS,20261208,2
DU,20261208,2
EDF,20261208,1
ES,20261208,2
EU,20261208,2
FDF,20261208,1
FS,20261208,2
FU,20261208,2
ADF,20261225,1
AS,20261225,2
AU,20261225,2
BDF,20261225,1
BexDF,20261225,1
BS,20261225,2
BU,20261225,2
CDF,20261225,1
CS,20261225,2
CU,20261225,2
DDF,20261225,1
DS,20261225,2
DU,20261225,2
EDF,20261225,1
ES,20261225,2
EU,20261225,2
FDF,20261225,1
FS,20261225,2
FU,20261225,2
ADF,20260101,1
AS,20260101,2
AU,20260101,2
BDF,20260101,1
BexDF,20260101,1
BS,20260101,2
BU,20260101,2
CDF,20260101,1
CS,20260101,2
CU,20260101,2
DDF,20260101,1
DS,20260101,2
DU,20260101,2
EDF,20260101,1
ES,20260101,2
EU,20260101,2
FDF,20260101,1
FS,20260101,2
FU,20260101,2
ADF,20260425,1
AS,20260425,2
AU,20260425,2
BDF,20260425,1
BexDF,20260425,1
BS,20260425,2
BU,20260425,2
CDF,20260425,1
CS,20260425,2
CU,20260425,2
DDF,20260425,1
DS,20260425,2
DU,20260425,2
EDF,20260425,1
ES,20260425,2
EU,20260425,2
FDF,20260425,1
FS,20260425,2
FU,20260425,2
ADF,20260501,1
AS,20260501,2
AU,20260501,2
BDF,20260501,1
BexDF,20260501,1
BS,20260501,2
BU,20260501,2
CDF,20260501,1
CS,20260501,2
CU,20260501,2
DDF,20260501,1
DS,20260501,2
DU,20260501,2
EDF,20260501,1
ES,20260501,2
EU,20260501,2
FDF,20260501,1
FS,20260501,2
FU,20260501,2
ADF,20260610,1
AS,20260610,2
AU,20260610,2
BDF,20260610,1
BexDF,20260610,1
BS,20260610,2
BU,20260610,2
CDF,20260610,1
CS,20260610,2
CU,20260610,2
DDF,20260610,1
DS,20260610,2
DU,20260610,2
EDF,20260610,1
ES,20260610,2
EU,20260610,2
FDF,20260610,1
FS,20260610,2
FU,20260610,2
ADF,20260815,1
AS,20260815,2
AU,20260815,2
BDF,20260815,1
BexDF,20260815,1
BS,20260815,2
BU,20260815,2
CDF,20260815,1
CS,20260815,2
CU,20260815,2
DDF,20260815,1
DS,20260815,2
DU,20260815,2
EDF,20260815,1
ES,20260815,2
EU,20260815,2
FDF,20260815,1
FS,20260815,2
FU,20260815,2
CDFF,20260815,1
ADF,20260624,1
AS,20260624,2
AU,20260624,2
BDF,20260624,1
BexDF,20260624,1
BS,20260624,2
BU,20260624,2
CDF,20260624,1
CS,20260624,2
CU,20260624,2
DDF,20260624,1
DS,20260624,2
DU,20260624,2
EDF,20260624,1
ES,20260624,2
EU,20260624,2
FDF,20260624,1
FS,20260624,2
FU,20260624,2
CDFF,20260624,1
ADF,20260217,1
AS,20260217,2
AU,20260217,2
BDF,20260217,1
BexDF,20260217,1
BS,20260217,2
BU,20260217,2
CDF,20260217,1
CS,20260217,2
CU,20260217,2
DDF,20260217,1
DS,20260217,2
DU,20260217,2
EDF,20260217,1
ES,20260217,2
EU,20260217,2
FDF,20260217,1
FS,20260217,2
FU,20260217,2
CDFF,20260217,1
ADF,20260403,1
AS,20260403,2
AU,20260403,2
BDF,20260403,1
BexDF,20260403,1
BS,20260403,2
BU,20260403,2
CDF,20260403,1
CS,20260403,2
CU,20260403,2
DDF,20260403,1
DS,20260403,2
DU,20260403,2
EDF,20260403,1
ES,20260403,2
EU,20260403,2
FDF,20260403,1
FS,20260403,2
FU,20260403,2
CDFF,20260403,1
ADF,20260405,1
AS,20260405,2
AU,20260405,2
BDF,20260405,1
BexDF,20260405,1
BS,20260405,2
BU,20260405,2
CDF,20260405,1
CS,20260405,2
CU,20260405,2
DDF,20260405,1
DS,20260405,2
DU,20260405,2
EDF,20260405,1
ES,20260405,2
EU,20260405,2
FDF,20260405,1
FS,20260405,2
FU,20260405,2
CDFF,20260405,1
ADF,20260604,1
AS,20260604,2
AU,20260604,2
BDF,20260604,1
BexDF,20260604,1
BS,20260604,2
BU,20260604,2
CDF,20260604,1
CS,20260604,2
CU,20260604,2
DDF,20260604,1
DS,20260604,2
DU,20260604,2
EDF,20260604,1
ES,20260604,2
EU,20260604,2
FDF,20260604,1
FS,20260604,2
FU,20260604,2
CDFF,20260604,1
